City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,fort mcmurray,56.7268,-111.381,11.47,52,100,1.8,CA,1714965359
159,bozeman,45.6796,-111.0386,10.93,71,100,1.79,US,1714965359
160,reconquista,-29.15,-59.65,21.38,93,98,3.18,AR,1714965360
161,verkhnevilyuysk,63.4453,120.3167,2.22,93,100,0.69,RU,1714965360
162,mao,39.8885,4.2658,16.31,100,100,3.09,ES,1714965361
163,santana,-0.0583,-51.1817,27.1,89,0,1.54,BR,1714965361
164,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.54,PT,1714965362
165,mawlaik,23.6333,94.4167,29.62,46,51,1.58,MM,1714965362
166,chernyshevskiy,63.0128,112.4714,1.9,100,100,3.57,RU,1714965363
167,punta arenas,-53.15,-70.9167,2.06,69,0,3.6,CL,1714965245
168,mili,6.0815,171.735,27.76,82,100,7.56,MH,1714965280
169,sodankyla,67.4167,26.6,-7.46,95,19,2.05,FI,1714965365
170,moa,20.6569,-74.9403,25.01,90,26,4.39,CU,1714965365
171,rzhev,56.2624,34.3282,1.28,82,31,2.14,RU,1714965365
172,hotan,37.0997,79.9269,23.85,14,67,5.91,CN,1714965366
173,port saint john's,-31.6229,29.5448,20.59,46,0,3.75,ZA,1714965248
174,port alfred,-33.5906,26.891,22.28,39,27,5.15,ZA,1714965367
175,bilibino,68.0546,166.4372,0.24,75,11,0.99,RU,1714965245
176,fort bragg,35.139,-79.006,21.32,93,100,0.89,US,1714965368
177,kapuskasing,49.4169,-82.4331,7.79,67,96,3.55,CA,1714965368
178,salalah,17.0151,54.0924,29.05,84,75,0.51,OM,1714965369
179,leava,-14.3,-178.1667,29.58,79,97,5.82,WF,1714965369
180,cabo san lucas,22.8909,-109.9124,27.17,31,100,4.12,MX,1714965120
181,pekanbaru,0.5333,101.45,31.18,74,20,3.6,ID,1714965143
182,east london,-33.0153,27.9116,21.88,38,27,4.02,ZA,1714965259
183,invercargill,-46.4,168.35,9.45,63,71,4.47,NZ,1714965249
184,homestead meadows north,31.8496,-106.1729,28.7,6,0,4.12,US,1714965371
185,richfield,44.8833,-93.283,15.97,57,20,2.06,US,1714965372
186,mount gambier,-37.8333,140.7667,17.62,50,0,4.33,AU,1714965266
187,vorgashor,67.5833,63.95,-14.0,96,100,1.23,RU,1714965246
188,taikang,46.8333,124.4167,18.42,29,100,8.29,CN,1714965162
189,san rafael,-34.6177,-68.3301,11.19,64,1,3.33,AR,1714965122
190,dunedin,-45.8742,170.5036,9.89,67,39,4.02,NZ,1714965371
191,ancud,-41.8697,-73.8203,8.32,84,90,7.22,CL,1714965268
192,san fernando,15.0286,120.6898,37.65,34,18,2.66,PH,1714965076
193,smithers,54.7804,-127.1743,9.7,85,100,1.24,CA,1714965261
194,ceylanpinar,36.8472,40.05,13.33,78,6,3.21,TR,1714965376
195,toliara,-23.35,43.6667,21.12,57,0,2.4,MG,1714965377
196,bikenibeu village,1.3673,173.1241,30.98,70,75,2.57,KI,1714965377
197,california,38.3004,-76.5074,19.29,95,100,2.57,US,1714965340
198,kenora,49.8167,-94.4337,7.62,67,32,2.04,CA,1714965361
199,estevan,49.1334,-102.9842,16.79,50,100,9.59,CA,1714965198
200,klaksvik,62.2266,-6.589,8.51,99,100,4.34,FO,1714965098
201,linhares,-19.3911,-40.0722,22.02,99,3,1.44,BR,1714965380
202,nema,57.5067,50.5011,2.03,99,100,2.32,RU,1714965272
203,polyarnyy,69.1989,33.4478,-1.61,76,100,8.28,RU,1714965381
204,dunay,42.8803,132.3375,12.07,99,100,0.46,RU,1714965381
205,recreo,-29.2818,-65.061,17.44,83,4,2.3,AR,1714965382
206,minot,48.2325,-101.2963,16.12,44,0,7.72,US,1714965382
207,marica,-22.9194,-42.8186,23.95,93,99,3.92,BR,1714965383
208,ayvacik,39.6011,26.4047,8.47,64,0,2.07,TR,1714965383
209,zubin potok,42.9144,20.6897,12.05,81,6,0.99,XK,1714965276
210,santanyi,39.3546,3.1291,17.68,85,99,3.62,ES,1714965384
211,guasdualito,7.2424,-70.7324,22.8,97,100,1.12,VE,1714965385
212,mersa matruh,31.3525,27.2453,17.11,74,0,5.47,EG,1714965385
213,hawaiian paradise park,19.5933,-154.9731,23.35,85,100,6.17,US,1714965243
214,aasiaat,68.7098,-52.8699,-14.23,96,85,2.59,GL,1714965255
215,richards bay,-28.783,32.0377,18.2,81,0,2.08,ZA,1714965283
216,newnham,-41.3833,147.1333,16.48,51,36,4.12,AU,1714965387
217,dayr hafir,36.1569,37.7078,14.34,70,100,2.59,SY,1714965388
218,thompson,55.7435,-97.8558,0.27,96,26,1.25,CA,1714965259
219,khorugh,37.4897,71.553,4.47,42,0,1.14,TJ,1714965389
220,santa cruz,-17.8,-63.1667,24.7,100,40,4.63,BO,1714965337
221,shilin,24.8188,103.3324,24.94,38,15,4.74,CN,1714965390
222,saint-junien,45.8833,0.9,10.32,99,100,1.83,FR,1714965212
223,palikir - national government center,6.9248,158.1611,30.47,84,100,5.66,FM,1714965390
224,nemuro,43.3236,145.575,7.24,94,100,1.92,JP,1714965261
225,georgetown,5.4112,100.3354,31.96,70,20,2.57,MY,1714965242
226,tura,25.5198,90.2201,28.73,56,22,1.23,IN,1714965392
227,saldanha,-33.0117,17.9442,14.61,89,92,6.86,ZA,1714965283
228,saint-pierre,-21.3393,55.4781,19.82,56,0,4.12,RE,1714965257
229,vadso,70.0744,29.7487,-0.51,80,75,8.23,NO,1714965277
230,walvis bay,-22.9575,14.5053,17.37,65,0,2.5,NA,1714965269
231,koshki,54.2091,50.4677,4.4,80,100,7.03,RU,1714965394
232,elverum,60.8819,11.5623,6.96,79,90,2.39,NO,1714965252
233,lebu,-37.6167,-73.65,10.46,79,92,6.62,CL,1714965259
234,kutum,14.2,24.6667,23.7,17,0,3.33,SD,1714965396
235,tekkali,18.6167,84.2333,33.38,59,37,5.99,IN,1714965396
236,kerikeri,-35.2268,173.9474,18.84,83,70,0.89,NZ,1714965397
237,malvan,16.0667,73.4667,29.25,70,1,3.94,IN,1714965397
238,behshahr,36.6923,53.5526,22.69,47,4,4.51,IR,1714965398
239,yarmouth,41.7057,-70.2286,9.49,94,100,3.6,US,1714965399
240,beipiao,41.7919,120.7792,19.27,31,100,9.86,CN,1714965399
241,chonchi,-42.6128,-73.8092,5.62,96,96,1.77,CL,1714965398
